ランバン,-1,-1,-400,名詞,一般,*,*,*,*,ランバン,香り,*,*,*,*,*,名詞,*,Mydic
モテる,-1,-1,-300,名詞,一般,*,*,*,*,モテる,印象,*,*,*,*,*,名詞,*,Mydic
清潔,-1,-1,-200,名詞,一般,*,*,*,*,清潔,印象,*,*,*,*,*,名詞,*,Mydic
気品,-1,-1,-200,名詞,一般,*,*,*,*,気品,印象,*,*,*,*,*,名詞,*,Mydic
女の子らしい,-1,-1,-600,名詞,一般,*,*,*,*,女の子らしい,印象,*,*,*,*,*,名詞,*,Mydic
ディープ,-1,-1,-400,名詞,一般,*,*,*,*,ディープ,印象,*,*,*,*,*,名詞,*,Mydic
スッキリ,-1,-1,-400,名詞,一般,*,*,*,*,スッキリ,印象,*,*,*,*,*,名詞,*,Mydic
ライチ,-1,-1,-300,名詞,一般,*,*,*,*,ライチ,香り,*,*,*,*,*,名詞,*,Mydic
陽気,-1,-1,-200,名詞,一般,*,*,*,*,陽気,印象,*,*,*,*,*,名詞,*,Mydic
ナチュラル,-1,-1,-500,名詞,一般,*,*,*,*,ナチュラル,印象,*,*,*,*,*,名詞,*,Mydic
カシス,-1,-1,-300,名詞,一般,*,*,*,*,カシス,香り,*,*,*,*,*,名詞,*,Mydic
フルーツ,-1,-1,-400,名詞,一般,*,*,*,*,フルーツ,香り,*,*,*,*,*,名詞,*,Mydic
パチョリ,-1,-1,-400,名詞,一般,*,*,*,*,パチョリ,香り,*,*,*,*,*,名詞,*,Mydic
ふわふわ,-1,-1,-400,名詞,一般,*,*,*,*,ふわふわ,印象,*,*,*,*,*,名詞,*,Mydic
オレンジブロッサム,-1,-1,-900,名詞,一般,*,*,*,*,オレンジブロッサム,香り,*,*,*,*,*,名詞,*,Mydic
生花,-1,-1,-200,名詞,一般,*,*,*,*,生花,香り,*,*,*,*,*,名詞,*,Mydic
エキゾチック,-1,-1,-600,名詞,一般,*,*,*,*,エキゾチック,香り,*,*,*,*,*,名詞,*,Mydic
バニラ,-1,-1,-300,名詞,一般,*,*,*,*,バニラ,香り,*,*,*,*,*,名詞,*,Mydic
シック,-1,-1,-300,名詞,一般,*,*,*,*,シック,印象,*,*,*,*,*,名詞,*,Mydic
ローズマリー,-1,-1,-600,名詞,一般,*,*,*,*,ローズマリー,香り,*,*,*,*,*,名詞,*,Mydic
カルダモン,-1,-1,-500,名詞,一般,*,*,*,*,カルダモン,香り,*,*,*,*,*,名詞,*,Mydic
柑橘類,-1,-1,-300,名詞,一般,*,*,*,*,柑橘類,香り,*,*,*,*,*,名詞,*,Mydic
ヒノキ,-1,-1,-300,名詞,一般,*,*,*,*,ヒノキ,香り,*,*,*,*,*,名詞,*,Mydic
フルーティフローラル,-1,-1,-1000,名詞,一般,*,*,*,*,フルーティフローラル,香り,*,*,*,*,*,名詞,*,Mydic
水,-1,-1,-100,名詞,一般,*,*,*,*,水,印象,*,*,*,*,*,名詞,*,Mydic
奥行きのある,-1,-1,-600,名詞,一般,*,*,*,*,奥行きのある,印象,*,*,*,*,*,名詞,*,Mydic
白い花,-1,-1,-300,名詞,一般,*,*,*,*,白い花,香り,*,*,*,*,*,名詞,*,Mydic
セージ,-1,-1,-300,名詞,一般,*,*,*,*,セージ,香り,*,*,*,*,*,名詞,*,Mydic
安心,-1,-1,-200,名詞,一般,*,*,*,*,安心,印象,*,*,*,*,*,名詞,*,Mydic
凛とした,-1,-1,-400,名詞,一般,*,*,*,*,凛とした,印象,*,*,*,*,*,名詞,*,Mydic
クール,-1,-1,-300,名詞,一般,*,*,*,*,クール,印象,*,*,*,*,*,名詞,*,Mydic
清々しい,-1,-1,-400,名詞,一般,*,*,*,*,清々しい,印象,*,*,*,*,*,名詞,*,Mydic
アーモンド,-1,-1,-500,名詞,一般,*,*,*,*,アーモンド,香り,*,*,*,*,*,名詞,*,Mydic
キリッとした,-1,-1,-600,名詞,一般,*,*,*,*,キリッとした,印象,*,*,*,*,*,名詞,*,Mydic
月桂樹,-1,-1,-300,名詞,一般,*,*,*,*,月桂樹,香り,*,*,*,*,*,名詞,*,Mydic
クローブ,-1,-1,-400,名詞,一般,*,*,*,*,クローブ,香り,*,*,*,*,*,名詞,*,Mydic
リフレッシュしたい,-1,-1,-900,名詞,一般,*,*,*,*,リフレッシュしたい,印象,*,*,*,*,*,名詞,*,Mydic
弾ける,-1,-1,-300,名詞,一般,*,*,*,*,弾ける,印象,*,*,*,*,*,名詞,*,Mydic
エネルギッシュ,-1,-1,-700,名詞,一般,*,*,*,*,エネルギッシュ,印象,*,*,*,*,*,名詞,*,Mydic
気分転換,-1,-1,-400,名詞,一般,*,*,*,*,気分転換,印象,*,*,*,*,*,名詞,*,Mydic
ハーバル,-1,-1,-400,名詞,一般,*,*,*,*,ハーバル,香り,*,*,*,*,*,名詞,*,Mydic
かき氷,-1,-1,-300,名詞,一般,*,*,*,*,かき氷,香り,*,*,*,*,*,名詞,*,Mydic
贅沢,-1,-1,-200,名詞,一般,*,*,*,*,贅沢,印象,*,*,*,*,*,名詞,*,Mydic
ハッピー,-1,-1,-400,名詞,一般,*,*,*,*,ハッピー,印象,*,*,*,*,*,名詞,*,Mydic
リラックス,-1,-1,-500,名詞,一般,*,*,*,*,リラックス,印象,*,*,*,*,*,名詞,*,Mydic
軽い,-1,-1,-200,名詞,一般,*,*,*,*,軽い,印象,*,*,*,*,*,名詞,*,Mydic
ソルト,-1,-1,-300,名詞,一般,*,*,*,*,ソルト,香り,*,*,*,*,*,名詞,*,Mydic
アロマオイル,-1,-1,-600,名詞,一般,*,*,*,*,アロマオイル,香り,*,*,*,*,*,名詞,*,Mydic
ハンサム,-1,-1,-400,名詞,一般,*,*,*,*,ハンサム,印象,*,*,*,*,*,名詞,*,Mydic
しっとり,-1,-1,-400,名詞,一般,*,*,*,*,しっとり,印象,*,*,*,*,*,名詞,*,Mydic
ほろ苦い,-1,-1,-400,名詞,一般,*,*,*,*,ほろ苦い,印象,*,*,*,*,*,名詞,*,Mydic
